dataset,method,train_cams,test_cam,source,steps_or_clips,audio_eval_protocol,metric_scope,dpam_protocol,visual_eval_frames,MAG,ENV,LRE,DPAM,RTE,PSNR,MSE,L1,artifact
scene1_opera,Separate AudioGS baseline (source code),38,cam10,near.wav,1,AudioGS source-code 3s non-overlap clip eval,clip_average,AudioGS source eval,,0.12737524509429932,0.10142205655574799,0.9802181726131307,0.1835106462240219,0.00804898887872696,,,,/mnt/sda/lisujing/Dataset/audioGS-replay/runs/strict_audiogs_cam10_allcams/eval/SC-scene1-opera-cam10-allcams/viewpoint_11
scene1_opera,Separate AudioGS baseline (source code full-track),38,cam10,near.wav,1,AudioGS source-code 3s non-overlap full-track,full_track,not_available,,0.12738080322742462,0.10142214596271515,0.980218768119812,,,,,,/mnt/sda/lisujing/Dataset/audioGS-replay/runs/strict_audiogs_cam10_allcams/eval/SC-scene1-opera-cam10-allcams/viewpoint_11
scene1_opera,Separate FreeTimeGS++ baseline (visual only),38,cam10,near.wav,,,visual_only,,150,,,,,,26.68,,,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_a/ftgspp
scene1_opera,AVFusion Route A frozen visual + audio head,38,cam10,near.wav,1,AVFusion full-track source-to-heldout audio,full_track,not_available,150,0.2213672250509262,0.13657262921333313,0.7420459985733032,,,26.68,,,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_a
scene1_opera,AVFusion joint warmup,38,cam10,near.wav,4940,AVFusion timed visual-frame audio window average,window_average,sampled 16 visual-frame windows,150,0.2160465272764365,0.10482203527664145,0.8769446611404419,0.21381221432238817,,26.8829015835012,0.0020497922257530876,0.039720786579208925,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_fair
scene1_opera,AVFusion joint no warmup,38,cam10,near.wav,4940,AVFusion timed visual-frame audio window average,window_average,sampled 16 visual-frame windows,150,0.2160459648196896,0.10482422467942039,0.8728500970204671,0.2135879984125495,,26.882879860678372,0.002049802478562317,0.03972088650275252,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_no_warmup_fair
scene1_opera,AVFusion joint warmup (AVFusion full-track AudioGS-style 3s non-overlap),38,cam10,near.wav,4940,AVFusion full-track AudioGS-style 3s non-overlap,full_track,not_available,150,0.13501206040382385,0.0990007221698761,1.010626196861267,,,26.8829015835012,0.0020497922257530876,0.039720786579208925,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_fair
scene1_opera,AVFusion joint warmup (AVFusion full-track visual-center 0.5s overlap-add),38,cam10,near.wav,4940,AVFusion full-track visual-center 0.5s overlap-add,full_track,not_available,150,0.22154615819454193,0.13419586420059204,0.8258887529373169,,,26.8829015835012,0.0020497922257530876,0.039720786579208925,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_fair
scene1_opera,AVFusion joint no warmup (AVFusion full-track AudioGS-style 3s non-overlap),38,cam10,near.wav,4940,AVFusion full-track AudioGS-style 3s non-overlap,full_track,not_available,150,0.13498419523239136,0.09895912557840347,0.9967070817947388,,,26.882879860678372,0.002049802478562317,0.03972088650275252,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_no_warmup_fair
scene1_opera,AVFusion joint no warmup (AVFusion full-track visual-center 0.5s overlap-add),38,cam10,near.wav,4940,AVFusion full-track visual-center 0.5s overlap-add,full_track,not_available,150,0.22154545783996582,0.13420093059539795,0.827245831489563,,,26.882879860678372,0.002049802478562317,0.03972088650275252,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_no_warmup_fair
scene1_opera,AVFusion spectral audio head no warmup,38,cam10,near.wav,4940,AVFusion timed visual-frame audio window average,window_average,not_available,150,0.18599013477563858,0.11293921777357657,0.801549514134725,,,26.882860240382158,0.0020498117390582073,0.0397212082313279,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_spectral_no_warmup
scene1_opera,AVFusion spectral audio head no warmup + strict AudioGS audio,38,cam10,near.wav,4940,AVFusion timed visual-frame audio window average,window_average,not_available,150,0.20674279005577167,0.11062381339880327,0.836146881977717,,,26.88139885989722,0.0020505016071200154,0.03973107786303278,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_b_joint_av_spectral_no_warmup_audiogs_strict
scene1_opera,AVFusion Route C soft acoustic Gaussians (AVFusion full-track AudioGS-style 3s non-overlap),38,cam10,near.wav,4000,AVFusion full-track AudioGS-style 3s non-overlap,full_track,not_available,150,0.13200578093528748,0.09432059526443481,0.2963371276855469,,,26.68,,,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_c_soft_av_gaussians
scene1_opera,AVFusion Route C soft acoustic Gaussians (AVFusion full-track visual-center 0.5s overlap-add),38,cam10,near.wav,4000,AVFusion full-track visual-center 0.5s overlap-add,full_track,not_available,150,0.20452693104743958,0.13729292154312134,1.5339694023132324,,,26.68,,,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_c_soft_av_gaussians
scene1_opera,AVFusion Route C soft acoustic Gaussians + stereo regularization (AVFusion full-track AudioGS-style 3s non-overlap),38,cam10,near.wav,4000,AVFusion full-track AudioGS-style 3s non-overlap,full_track,not_available,150,0.1280723363161087,0.09724254906177521,0.040483713150024414,,,26.68,,,/mnt/sda/lisujing/Dataset/AVGaussianFusion/runs/scene1_opera_c_soft_av_gaussians_stereo_reg
